,0,1,2,3,4,5
3714,,"toward staff, so it was decided that a hold would have to be administered in order to help him de-escalate. A three",,,,
3715,,"person supine hold was done for 4 minutes at 11:05. He was released at 11:09, but immediately got up and began",,,,
3716,,"threatening and swinging at staff again, so another three person supine hold was done for 6 minutes at 11:10. He",,,,
3717,"2019-2020 Y
7/19/2019 Supine Hold","Calm Room
was released again at 11:16 and continued to threaten staff, but was only mildly physically aggressive (pushing 
6 Minutes",,,,
3718,,StudentDiscipline_L,,,,
3719,"Disposition
SchoolYear BIP Y/NIncidentDate","StudentDiscipline_Description
DispositionDuration
StudentDiscipline_DispositionDurationUnit",,,,
3720,,XXXX was angry about an incident with a peer in his classroom and was taking a break in the calm room when he,,,,
3721,,began slamming the door repeatedly to the point where the door was about to come off of the door frame causing,,,,
3722,,"injury to him, so XXXX intervened and attempted to hold the door open, explaining that we were just concerned",,,,
3723,,"about his safety.  XXXX immediately began slamming the door against XXXX, pushing against him and punching him",,,,
3724,,in the torso. Crisis support staff and classroom teacher attempted to help XXXX deescalate and choose a safer,,,,
3725,,"replacement coping strategy, but he continued to escalate and began punching crisis support staff and",,,,
3726,,administrator repeatedly and threatening to harm classroom teacher and all adults nearby. We contacted parent in,,,,
3727,,"attempt to help deescalate, but this was unsuccessful and XXXX continued to escalate with increasing aggression",,,,
3728,,"toward staff, so it was decided that a hold would have to be administered in order to help him de-escalate. A three",,,,
3729,,"person supine hold was done for 4 minutes at 11:05. He was released at 11:09, but immediately got up and began",,,,
3730,,"threatening and swinging at staff again, so another three person supine hold was done for 6 minutes at 11:10. He",,,,
3731,"2019-2020 Y
7/19/2019 Supine Hold","Calm Room
was released again at 11:16 and continued to threaten staff, but was only mildly physically aggressive (pushing 
13 Minutes",,,,
3732,,At the beginning of Art adult went over safety expectations with the use of scissors with XXXX.  After having the,,,,
3733,,"scissors, he needed prompting to maintain safe behaviors. XXXX was redirected for saying inappropriate things like",,,,
3734,,"""murder"" and yelling out threatening comments ( may have been scripting). He continued so was prompted again",,,,
3735,,"to be safe with scissors, he became upset and tossed the scissors on the table, turned to the cabinet and",,,,
3736,,proceeded to try and get into it. While he was distracted an adult was able to grab scissors off the table. XXXX then,,,,
3737,,"lost interest in the cabinet and charged to the other table, grabbed another pair of scissors. Went back over to the",,,,
3738,,cabinet swinging the shears and started to cut up posters. When redirected he became physical pushing his body,,,,
3739,,and kicking adults. Adults were able to get the scissors and he continued to escalate. XXXX left the art room and,,,,
3740,"2019-2020 Y
9/24/2019 Supine Hold","Other 
went after adults pushing his body into them. We reached the support room and he took off his shoes and threw 
4 Minutes",,,,
3741,,XXXX became upset when at choice time when his laptop was not charged. XXXX started hitting his laptop and,,,,
3742,,making comments. When an adult tried to problem solve with him and let him know that we had a charger. He,,,,
3743,,refused the solution because he did not want to move near an outlet. XXXX decided to use his thera-putty. He,,,,
3744,,began making loud noises (gun) and motions. When adult redirected he got upset with the adult attempting to,,,,
3745,,"explain. Another adult attempted to intervene and he became upset and attempted to clear adults desk, then took",,,,
3746,,"the gum out of his mouth and rubbed it all over adult's desk, and threatened to put it in adult's hair. He accepted",,,,
3747,,prompting to accept power card. He appropriately advocated for himself to wash his hands. After he was done,,,,
3748,,washing his hands he left the room and attempted to close door on adult. XXXX ran to the support area and again,,,,
3749,,tried to close adult out. XXXX pushed his body into adult telling them to get out and leave the room. He continued,,,,
3750,,"to be physical with several adults, so a supine hold was implemented. XXXX transitioned into the calm room. After",,,,
3751,"2019-2020 Y
11/8/2019 Supine Hold","Classroom
about 15 minutes he deescalated, but escalated again after finding out it was lunch time. XXXX made threats 
15 Minutes",,,,
3752,,,,,StudentDiscipline_L,
3753,SchoolYear BIP Y/NIncidentDate,,Disposition,DispositionDuration,StudentDiscipline_DispositionDurationUnit,StudentDiscipline_Description
3754,,,Small child,,,"XXXX was having difficulty following classroom expectations within the classroom. He became disruptive,"
3755,,,restraint 1,,,"disrespectful, and became physically aggressive once he was redirected by adults. Staff utilized a TCI single person"
3756,2019-2020 Y,3/10/2020,person hold,10 Minutes,Classroom,small child hold which lasted ten minutes before he was compliant with the letting go process and LSI.
3757,,,Small child,,,XXXX became unsafe and angry. This continued to escalate at which time XXXX threatened to jump from a stair
3758,,,restraint 1,,,"well ""to kill himself"". XXXX was engaging in aggressive behaviors such as hitting and attempting to bite. XXXX"
3759,2019-2020 N,3/3/2020,person hold,4 Minutes,Other,attempted several time to jump off high tables. A one person seated hold was implemented by 1:1 Aide XXX xxx
3760,,,Small child,,,class was doing behavior minutes.  XXXX became upset when she received minutes for earlier behavior.  She
3761,,,restraint 1,,,"became aggressive towards staff, biting, spitting, hitting, kicking, climbing on furniture, throwing her shoes.  placed"
3762,2019-2020 N,11/6/2019,person hold,1 Minutes,Classroom,in hold for safety of peers and staff 12:01-12:02
3763,,,Small child,,,"Class was doing Read aloud,  XXXX did not want to listen to the book, took off her shoes and threw them out of the"
3764,,,restraint 1,,,"classroom. running around the class and sliding on the floor,  Became unsafe jumping on furniture in class room"
3765,2019-2020 N,12/4/2019,person hold,1 Minutes,Classroom,"and jumping off.  Became aggressive towards staff kicking, punching, hitting staff."
3766,,,,,,XXXX threw a shoe at another classmate and hit them in the face due to her being frustrated with a comment
3767,,,,,,"made by that peer, she continued to try and kick that student, when an adult got in the way she preceded to punch"
3768,,,Small child,,,"and bite that adult (NG), XXXX walked into the hallway with adult and continued to bite as well as pinch and kick"
3769,,,restraint 2,,,"the adult, she attempted to run from adult two times and threatened to leave the building once, due to safety"
3770,2019-2020 Y,10/22/2019,person hold,4 Minutes,Hallway,XXXX was placed in a brief small child restraint. She was later looked over by the nurse and was able to complete
3771,,,,,,XXXX was not giving another student space. The other student verbalized need. Staff attempted to redirect her but
3772,,,,,,she was not responsive. She went over to staff's desk and began throwing items off the desk to different areas
3773,,,Small child,,,around the room. Staff attempted again to redirect using proximity and directives. XXXX began biting staff and
3774,,,restraint 2,,,kicking them. She continued to be physically aggressive with staff in the hall and a small child hold was utilized. She
3775,2019-2020 Y,1/29/2020,person hold,1.5 Minutes,Hallway,was released due to staff presence and his attempt to get her to a safe place to settle. Parent was contacted by the
3776,,,,,,After the fire drill he became very disregulated. He was being agreesive towards adults and was in teh support
3777,,,,,,area. While in the support area he was threatening adults and throwing objects in the back of the support area.
